,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,ContinentName,City,CapitalLatitude,CapitalLongitude,Temp,Cloudiness,Wind Speed,Humidity
105,Haiti,4.518,4.0280000000000005,3.6029999256134,3.582,3.597,3.86559998512268,North America,Port-au-Prince,18.53333333333333,-72.333333,80.6,0.0,16.11,47.0
106,Congo (Kinshasa),4.517,4.272,4.280000209808351,4.245,4.418,4.3464000419616715,,,,,,,,
107,Nepal,4.5139999999999985,4.793,4.961999893188481,4.88,4.913,4.812399978637695,Asia,Kathmandu,27.716666666666665,85.31666700000001,44.6,20.0,3.44,87.0
108,Ethiopia,4.512,4.508,4.46000003814697,4.35,4.2860000000000005,4.4232000076293945,Africa,Addis Ababa,9.033333333333333,38.7,56.66,100.0,3.11,82.0
109,Sierra Leone,4.507,4.635,4.70900011062622,4.5710000000000015,4.374,4.5592000221252444,Africa,Freetown,8.483333333333333,-13.233332999999998,80.6,97.0,5.75,83.0
110,Mauritania,4.436,4.2010000000000005,4.29199981689453,4.356,4.49,4.354999963378907,Africa,Nouakchott,18.066666666666666,-15.966667000000001,64.4,0.0,9.22,82.0
111,Kenya,4.419,4.356,4.55299997329712,4.41,4.509,4.449399994659424,Africa,Nairobi,-1.2833333333333332,36.816666999999995,64.4,20.0,4.47,68.0
112,Armenia,4.35,4.36,4.37599992752075,4.3210000000000015,4.559,4.3931999855041495,Europe,Yerevan,40.16666666666666,44.5,30.2,90.0,1.14,93.0
113,Botswana,4.332,3.974,3.7660000324249294,3.59,3.488,3.8300000064849864,Africa,Gaborone,-24.63333333333333,25.9,71.6,75.0,3.44,73.0
114,Myanmar,4.307,4.395,4.54500007629395,4.308,4.36,4.383000015258789,,,,,,,,
115,Georgia,4.297,4.252,4.28599977493286,4.34,4.519,4.3387999549865714,Europe,Tbilisi,41.68333333333333,44.833333,33.8,20.0,19.57,69.0
116,Malawi,4.292,4.1560000000000015,3.97000002861023,3.587,3.41,3.8830000057220464,Africa,Lilongwe,-13.966666666666667,33.783333,67.48,100.0,1.7,79.0
117,Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005,4.392600011444092,Asia,Colombo,6.916666666666668,79.833333,75.2,20.0,3.44,94.0
118,Cameroon,4.252,4.513,4.69500017166138,4.975,5.044,4.695800034332277,,,,,,,,
119,Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,4.618600045013428,Europe,Sofia,42.68333333333333,23.316667000000002,34.14,90.0,3.44,93.0
120,Egypt,4.194,4.362,4.7350001335144,4.419,4.166,4.375200026702879,Africa,Cairo,30.05,31.25,47.93,40.0,2.3,87.0
121,Yemen,4.077,3.724,3.59299993515015,3.355,3.38,3.6257999870300304,Asia,Sanaa,15.35,44.2,54.91,26.0,1.54,41.0
122,Mali,3.995,4.073,4.19000005722046,4.447,4.39,4.219000011444092,Africa,Bamako,12.65,-8.0,82.4,30.0,5.75,18.0
123,Congo (Brazzaville),3.989,4.2360000000000015,4.29099988937378,4.559,4.812,4.377399977874757,,,,,,,,
124,Uganda,3.931,3.739,4.08099985122681,4.1610000000000005,4.189,4.020199970245362,Africa,Kampala,0.31666666666666665,32.55,69.8,20.0,18.41,64.0
125,Senegal,3.904,4.2189999999999985,4.53499984741211,4.631,4.681,4.393999969482421,Africa,Dakar,14.733333333333333,-17.633333,64.4,2.0,6.91,88.0
126,Gabon,3.896,4.121,4.46500015258789,4.758,4.799,4.407800030517578,Africa,Libreville,0.38333333333333336,9.45,77.0,20.0,4.61,94.0
127,Niger,3.845,3.856,4.02799987792969,4.166,4.628,4.104599975585939,Africa,Niamey,13.516666666666667,2.1166669999999996,71.6,0.0,5.75,11.0
